,Value,list
TF,FleQ,
reg_genes,263,"['PP_3126' 'folEB' 'pabA' 'PP_2628' 'PP_4459' 'pfeS-II' 'pcnB' 'fliS'
 'ooxB' 'PP_2193' 'PP_0131' 'yhhJ' 'PP_4393' 'PP_2240' 'PP_2634' 'phoQ'
 'PP_0180' 'PP_1184' 'PP_3128' 'PP_4607' 'PP_2010' 'bcsB' 'PP_1786'
 'PP_3086' 'PP_0534' 'PP_5699' 'bcsZ' 'PP_3696' 'PP_2192' 'PP_1787'
 'PP_2975' 'PP_5587' 'phoP' 'PP_1150' 'PP_2219' 'PP_1151' 'PP_5631'
 'PP_3127' 'PP_3700' 'PP_4057' 'PP_4316' 'PP_4342' 'flhF' 'PP_0863'
 'PP_1728' 'PP_0351' 'PP_5305' 'PP_2595' 'PP_3504' 'ibpA' 'PP_4334' 'gcdH'
 'aldB-I' 'ldhA' 'fliL' 'PP_1208' 'PP_1971' 'clpS' 'PP_0051' 'PP_4882'
 'thiI' 'PP_1790' 'adhP' 'mcoA' 'pbpG' 'bcsG' 'fatB' 'PP_4350' 'fatD'
 'PP_5365' 'PP_0535' 'flgL' 'PP_2310' 'PP_4317' 'rlmB' 'trpD' 'PP_0159'
 'PP_4888' 'PP_1794' 'PP_3685' 'PP_0667' 'PP_2472' 'arcA' 'PP_1864' 'insN'
 'PP_1013' 'PP_1878' 'rbbA' 'algA' 'PP_5693' 'PP_1979' 'PP_1651' 'PP_1791'
 'tufA' 'PP_0598' 'quiA' 'PP_4070' 'algG' 'PP_4881' 'PP_4612' 'rhtA'
 'PP_2596' 'PP_4470' 'PP_1795' 'PP_0861' 'PP_3612' 'znuB' 'PP_1637'
 'PP_1776' 'alg8' 'PP_3011' 'PP_0998' 'PP_0599' 'oprQ' 'PP_0862' 'PP_1647'
 'PP_0168' 'PP_0160' 'PP_1778' 'PP_0704' 'ndh' 'PP_0350' 'PP_2736' 'yhiI'
 'PP_2590' 'fliM' 'PP_0166' 'PP_3142' 'PP_4961' 'PP_4345' 'PP_3085'
 'PP_0439' 'PP_4458' 'PP_0685' 'yfdC' 'PP_1793' 'mgtE' 'PP_1006' 'algF'
 'PP_2509' 'PP_1729' 'PP_4608' 'alg44' 'PP_4755' 'PP_0705' 'algJ'
 'PP_0703' 'PP_0788' 'PP_1788' 'mrcA' 'clpA' 'oprI' 'algX' 'evgA'
 'PP_2737' 'paxB' 'PP_3326' 'pfeS-I' 'PP_3733' 'PP_5263' 'dusA' 'PP_2191'
 'PP_0162' 'algD' 'PP_2473' 'fliH' 'PP_0352' 'PP_1096' 'pet' 'bfr-II'
 'PP_1798' 'algL' 'PP_3503' 'PP_0668' 'PP_3325' 'PP_0564' 'PP_1970'
 'PP_4611' 'PP_0267' 'PP_2735' 'oprD' 'dacB' 'PP_2592' 'algK' 'PP_2638'
 'PP_1789' 'PP_3186' 'PP_4610' 'clpB' 'gacS' 'cpsG' 'glmP' 'PP_2738'
 'PP_3789' 'PP_4333' 'arcD-I' 'PP_1147' 'PP_4609' 'tolC' 'tsaA' 'PP_1797'
 'fleS' 'PP_0565' 'PP_0563' 'PP_2593' 'PP_5745' 'arcB' 'atoC' 'PP_1978'
 'PP_2633' 'PP_1515' 'rfbC' 'oprH' 'PP_1792' 'rnr' 'gltR-II' 'phnN' 'fliD'
 'PP_2220' 'bcsA' 'PP_4606' 'nadC' 'PP_3323' 'PP_3547' 'oprG' 'algI'
 'PP_1083' 'algE' 'arcC' 'PP_0153' 'PP_1780' 'PP_2429' 'PP_1207' 'PP_1779'
 'PP_0116' 'rfbA' 'PP_0546' 'PP_3611' 'PP_4335']"
comp_genes,25,['fliC']
both_genes,24,"['flgE' 'flgG' 'fliG' 'fliE' 'flgC' 'flgJ' 'flgK' 'fliJ' 'flgB' 'flhA'
 'flgD' 'fliR' 'fliI' 'fliP' 'flhB' 'fliF' 'fliK' 'flgH' 'fliO' 'flgF'
 'PP_4396' 'flgI' 'flgA' 'fliQ']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
